age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,native_country
45,3,9,2,1,0,4,1,0,0,7,0,39
23,3,13,4,12,1,4,0,0,0,45,0,39
32,6,9,2,11,0,4,1,0,0,40,0,39
45,3,13,2,4,0,4,1,0,0,55,1,39
39,5,9,2,4,0,4,1,0,0,40,0,39
20,3,10,4,1,3,1,0,0,0,15,0,39
43,3,10,0,3,1,4,1,0,0,40,0,39
33,3,9,4,3,3,1,1,0,0,40,0,39
23,6,13,4,10,1,4,1,10520,0,40,1,39
28,3,9,2,0,5,4,0,0,0,17,0,16
40,3,16,2,4,0,1,1,3103,0,40,1,19
74,3,9,6,0,1,4,0,0,0,10,0,39
35,3,11,2,3,0,4,1,0,0,50,0,39
21,3,9,4,8,3,4,0,0,0,19,0,39
50,3,4,2,14,0,4,1,0,1579,65,0,2
40,3,9,6,7,3,4,0,0,0,30,0,39
55,3,10,0,7,1,4,0,0,0,40,0,39
21,3,10,4,1,1,4,0,0,0,40,0,39
48,3,6,2,1,5,4,0,0,0,40,0,39
56,4,16,2,10,0,4,1,99999,0,70,1,39
51,5,9,2,14,0,4,1,0,0,35,1,39
31,3,9,2,1,0,4,1,0,0,50,0,39
36,3,9,2,3,0,4,1,5013,0,40,0,22
27,3,9,4,12,3,0,1,0,0,20,0,39
61,3,10,0,8,1,2,1,0,0,40,0,39
32,3,9,2,3,0,4,1,0,0,40,0,39
38,3,13,2,10,5,4,0,15024,0,40,1,39
22,3,9,4,7,1,4,1,0,0,42,0,39
37,3,9,2,10,0,4,1,0,0,40,1,39
43,4,9,2,3,0,4,1,0,0,60,0,39
20,3,10,4,0,3,4,0,0,0,20,0,39
58,3,9,6,12,1,4,0,0,0,35,1,39
32,3,13,4,10,4,4,0,0,0,40,0,39
30,3,9,4,3,1,4,1,0,0,40,0,39
30,3,9,0,1,1,4,0,0,0,40,0,39
65,3,13,2,4,0,4,1,0,0,40,1,39
38,3,13,2,3,0,4,1,0,0,45,0,39
47,0,10,0,1,4,2,0,0,0,40,0,39
27,3,13,4,10,1,4,0,0,0,55,0,39
24,4,9,4,8,1,2,1,13550,0,50,1,39
50,5,4,2,5,0,4,1,0,0,40,0,39
36,3,9,2,3,0,4,1,0,0,40,0,39
34,3,10,4,8,1,4,1,0,0,50,0,39
34,3,9,2,6,0,2,1,0,0,40,0,39
34,3,13,2,10,0,4,1,0,0,55,1,39
43,1,13,2,10,0,4,1,0,0,40,1,39
20,3,10,4,7,3,4,1,0,0,40,0,39
34,3,9,0,7,1,4,1,0,0,30,0,39
44,6,14,2,4,0,4,1,0,1902,40,1,39
35,3,10,2,3,0,4,1,0,0,40,0,39
35,3,10,4,8,1,4,0,0,0,65,0,39
31,3,16,2,10,0,4,1,0,1977,99,1,39
59,3,7,0,5,1,4,1,0,0,40,0,39
28,3,9,2,3,0,4,1,0,0,40,1,31
25,5,10,2,3,0,4,1,3103,0,50,1,39
37,5,10,4,3,1,4,1,0,0,40,0,39
22,3,12,4,1,3,4,0,0,0,27,0,39
32,3,9,2,0,0,4,1,0,0,5,0,39
28,3,6,5,0,1,4,1,0,0,80,0,39
32,6,15,2,10,0,4,1,0,0,75,1,39
23,3,7,2,8,0,4,1,0,0,40,0,39
53,0,9,2,1,5,4,0,7688,0,35,1,39
75,3,9,6,1,1,4,0,0,0,40,0,39
43,3,5,4,7,4,2,0,0,625,40,0,39
33,3,10,2,8,0,4,1,0,0,40,0,39
38,3,9,0,7,1,4,1,0,0,45,0,39
29,3,9,2,7,0,4,1,0,0,40,0,39
20,3,10,4,10,3,4,1,0,0,20,0,39
29,6,14,4,4,1,4,1,0,0,40,0,0
35,3,13,2,10,0,1,1,0,0,40,1,30
28,3,13,4,10,1,4,1,0,0,55,1,39
43,3,9,2,3,0,4,1,0,0,44,0,39
58,3,7,2,3,0,4,1,0,0,40,0,39
66,4,5,2,4,0,4,1,1409,0,1,0,0
50,4,10,2,4,0,4,1,0,0,99,1,39
69,5,10,2,3,0,4,1,9386,0,72,1,39
38,1,10,4,10,3,4,1,0,0,40,0,39
34,3,10,2,4,5,4,0,0,1887,40,1,39
61,5,9,2,4,0,4,1,0,1887,40,1,39
38,3,10,0,12,4,2,0,0,0,40,0,39
53,3,13,2,0,0,4,1,0,0,30,1,39
55,3,4,6,8,4,4,0,0,0,20,0,0
25,3,13,2,1,5,2,0,0,0,38,0,39
42,3,9,0,4,1,4,0,0,0,40,1,39
45,5,10,2,4,0,0,1,0,0,40,0,39
55,3,13,2,4,0,4,1,0,0,50,1,39
36,3,13,2,10,0,1,1,0,0,55,1,24
22,3,10,4,12,3,4,0,0,0,15,0,39
28,3,13,4,12,2,4,0,0,0,45,0,39
29,3,14,4,10,1,4,1,0,0,55,0,34
45,1,14,2,10,5,4,0,0,0,45,1,39
47,3,10,2,7,0,1,1,3103,0,40,1,30
42,6,9,2,4,0,4,1,0,0,40,1,39
46,3,14,2,1,0,4,1,0,1740,60,0,39
46,3,10,2,12,0,4,1,0,0,40,0,39
43,3,14,0,4,4,4,0,0,2547,40,1,39
29,3,9,2,3,0,4,1,0,0,60,0,39
29,6,10,4,8,3,4,0,0,0,40,0,39
62,6,14,5,10,4,4,0,0,0,24,0,0
45,6,14,2,10,0,4,1,0,0,45,1,39
56,3,10,2,7,0,4,1,0,0,40,0,39
59,1,14,6,10,4,4,0,4787,0,60,1,39
41,1,10,0,4,4,4,0,0,0,25,0,39
34,3,9,2,7,0,2,1,0,0,40,0,39
44,1,14,4,10,1,4,0,0,0,40,0,39
42,3,9,0,3,4,4,0,0,0,40,0,39
42,5,9,2,5,0,4,1,0,0,50,0,39
20,1,9,2,11,0,2,1,0,0,30,0,33
27,3,10,0,1,4,2,0,0,0,36,0,39
25,3,13,4,12,1,4,0,6849,0,50,0,39
40,3,6,0,7,1,2,0,0,0,40,0,39
37,5,9,2,12,0,4,1,0,0,45,0,39
24,3,10,4,12,1,2,1,0,0,40,0,23
53,3,9,2,4,0,4,1,0,0,35,1,39
48,3,4,2,7,0,4,1,0,0,40,0,39
58,5,9,2,12,0,4,1,15024,0,40,1,39
56,3,10,2,3,0,4,1,0,0,50,1,39
42,3,9,4,9,1,4,0,0,0,40,0,0
53,3,5,2,8,0,4,1,0,0,40,0,6
23,0,9,4,10,1,4,1,0,0,40,0,39
40,3,9,4,5,1,4,1,0,0,40,0,39
42,3,9,2,3,0,2,1,7688,0,45,1,39
33,3,4,2,3,0,4,1,0,0,40,0,39
25,3,9,4,6,1,4,1,0,0,45,0,39
46,3,16,2,10,0,4,1,0,2415,55,1,39
51,3,9,2,3,0,4,1,0,0,40,0,39
37,3,9,2,3,0,4,1,0,0,40,0,39
20,3,9,4,11,3,2,1,0,0,40,0,39
61,3,9,2,8,0,4,1,0,0,40,0,39
34,4,11,0,12,4,4,0,0,0,40,0,39
17,3,7,4,12,3,2,0,0,0,15,0,39
35,3,13,2,6,0,4,1,7298,0,35,1,39
49,6,11,0,1,1,2,0,0,0,44,0,39
27,3,10,4,1,4,4,0,0,0,50,0,39
26,3,12,4,7,2,4,0,0,0,15,0,39
47,3,12,2,10,5,2,0,15024,0,40,1,39
44,3,9,2,8,0,4,1,0,0,25,0,26
28,3,10,4,12,2,4,0,0,0,40,0,39
20,3,9,4,7,3,4,1,0,0,40,0,39
20,3,10,4,1,3,4,0,0,0,46,0,39
34,3,12,0,7,1,4,1,0,0,40,0,39
61,1,9,6,10,1,4,0,0,0,40,0,39
30,3,8,0,8,1,4,0,0,0,40,0,39
53,3,10,2,3,0,4,1,0,0,40,1,39
47,3,9,2,14,0,4,1,0,0,60,0,39
18,3,9,2,1,5,4,0,0,0,40,0,39
22,3,10,4,8,3,2,1,0,0,40,0,39
33,3,9,2,8,0,2,1,0,0,40,0,39
27,3,13,4,1,1,4,0,0,0,65,0,39
31,6,13,0,10,1,4,1,0,0,40,0,39
41,3,9,2,12,0,4,1,0,0,49,1,39
35,3,10,2,3,0,2,1,0,0,50,1,23
41,4,13,2,12,0,4,1,7688,0,45,1,39
25,3,13,4,1,1,4,1,0,0,30,0,39
47,3,9,2,14,0,4,1,0,0,55,1,39
42,6,13,0,1,1,4,1,0,0,40,0,39
25,3,6,4,3,1,4,1,0,0,40,0,39
24,3,10,2,1,0,4,1,7298,0,40,1,39
25,3,10,4,11,1,4,1,0,0,60,0,39
29,1,14,2,10,0,4,1,0,0,50,0,39
30,3,10,4,3,4,2,1,0,0,40,0,39
63,5,11,2,8,0,4,1,0,0,45,0,39
17,3,6,4,8,3,4,0,0,0,10,0,39
25,3,12,2,6,0,2,1,0,0,40,0,23
39,6,9,2,1,5,1,0,3464,0,20,0,39
41,4,9,2,12,0,4,1,0,1887,55,1,39
38,3,9,0,1,4,4,0,0,0,48,0,39
21,3,7,4,13,3,4,0,0,0,35,0,39
36,3,9,0,10,3,4,0,0,0,40,1,39
45,1,13,0,10,4,4,0,0,0,40,0,39
55,3,10,6,5,1,4,1,0,2258,62,1,39
26,3,10,2,14,0,4,1,0,0,52,1,39
24,3,10,2,1,5,1,0,0,0,40,0,25
27,3,10,4,13,1,4,0,0,0,30,0,39
25,0,10,2,4,0,4,1,0,0,40,1,39
48,3,12,2,7,0,4,1,0,0,40,0,39
23,3,13,4,4,4,4,1,0,0,40,0,39
44,1,13,2,11,0,4,1,0,0,40,1,39
58,4,13,2,10,0,4,1,0,0,40,0,39
27,3,4,2,14,0,4,1,0,0,45,0,39
18,3,7,4,6,3,4,1,0,0,40,0,39
29,3,9,2,6,0,0,1,0,0,40,0,39
25,3,13,2,4,0,4,1,0,0,55,1,39
29,6,9,2,3,0,4,1,0,0,40,1,39
50,3,9,2,12,5,2,0,0,0,40,0,39
44,3,9,0,7,3,4,1,0,0,40,0,39
67,3,14,4,8,1,4,0,0,0,40,0,39
21,5,10,4,1,3,4,1,0,0,30,0,39
19,3,10,4,8,3,4,0,0,0,25,0,39
52,4,9,2,4,5,4,0,15024,0,40,1,39
34,3,9,4,8,1,1,1,0,0,40,0,24
58,3,9,2,3,0,4,1,0,0,40,0,39
66,3,9,2,8,0,2,1,0,0,4,0,39
20,3,10,4,0,3,4,0,0,0,5,0,39
27,3,15,2,10,0,4,1,0,0,42,1,39
33,3,9,2,3,0,4,1,0,0,40,0,39
34,3,10,2,10,0,2,1,0,0,40,1,23
40,3,12,0,1,4,4,0,0,0,40,0,39
50,3,13,2,10,0,4,1,0,0,43,1,39
42,3,10,4,7,1,4,0,0,0,40,0,39
46,3,10,2,4,5,4,0,0,0,40,1,39
36,3,13,2,12,0,4,1,0,1977,35,1,39
18,3,7,4,6,1,4,1,0,0,25,0,39
36,4,13,2,4,5,4,0,0,1977,45,1,39
28,3,4,0,0,3,4,1,0,0,84,0,39
44,3,10,2,12,0,1,1,0,1902,40,1,39
37,5,11,4,5,3,4,1,0,0,84,0,39
27,3,9,2,3,0,4,1,0,0,40,0,39
61,3,9,2,8,5,4,0,0,0,4,0,39
20,3,9,4,0,1,4,1,0,0,40,0,39
29,3,11,4,10,1,4,1,0,0,43,0,39
24,3,13,4,10,1,4,0,0,0,40,0,39
47,3,9,2,8,5,4,0,0,0,38,0,39
41,3,13,0,10,1,4,0,0,0,50,1,39
26,0,9,4,1,1,1,1,0,0,40,0,39
34,3,9,0,3,1,4,1,3325,0,35,0,39
37,3,7,4,14,1,4,1,0,0,60,1,39
39,3,5,5,3,3,4,1,0,0,35,0,26
36,3,14,2,10,0,4,1,0,0,60,1,39
36,6,14,4,10,3,4,0,0,0,30,0,39
57,3,10,2,10,0,4,1,0,0,40,1,39
40,3,9,4,8,1,4,0,0,0,40,0,39
46,3,12,0,10,4,4,0,0,0,40,0,39
17,3,7,4,1,3,4,0,0,0,8,0,39
56,3,13,2,12,0,4,1,0,0,40,1,39
41,3,4,2,8,0,4,1,0,0,40,0,0
63,3,13,2,12,0,4,1,0,1740,35,0,39
38,3,10,4,8,3,2,0,0,0,40,0,39
69,5,4,2,12,0,4,1,0,0,55,0,39
33,3,9,4,8,1,2,1,0,0,38,0,39
33,3,5,2,6,0,4,1,0,0,40,0,39
49,3,13,4,4,1,4,1,0,0,45,1,39
40,1,15,4,4,1,4,1,0,0,60,1,39
50,5,10,2,3,0,4,1,0,0,35,0,39
29,6,14,2,10,0,4,1,0,0,15,0,39
54,5,12,2,12,0,4,1,0,0,50,1,39
27,3,11,0,1,4,4,0,0,0,40,0,39
65,3,9,6,0,4,4,0,2329,0,75,0,39
30,3,13,0,4,1,1,0,0,0,40,0,3
41,3,9,2,1,5,4,0,0,0,40,0,39
32,4,9,2,4,0,4,1,0,0,45,0,39
50,3,16,2,10,0,4,1,0,1902,65,1,39
25,3,9,2,1,5,4,0,0,0,50,1,39
66,3,13,2,12,0,4,1,20051,0,40,1,39
21,3,10,4,8,3,4,0,0,0,30,0,39
51,4,10,2,4,0,4,1,0,0,50,1,39
36,3,9,4,7,4,0,0,0,0,40,0,39
18,3,9,4,6,3,4,0,0,0,25,0,39
25,3,10,2,1,0,4,1,0,0,45,0,39
18,1,8,4,10,3,4,1,0,0,30,0,39
41,0,10,2,4,0,2,1,0,0,40,1,39
46,0,13,0,10,4,4,0,0,0,50,1,39
35,3,9,2,4,0,4,1,0,0,48,0,39
56,3,9,2,3,0,4,1,0,0,40,0,39
33,3,10,3,10,1,4,1,0,0,40,0,39
29,3,9,0,8,4,4,0,0,0,36,0,39
56,3,9,2,1,0,4,1,0,0,40,0,39
22,3,9,2,3,0,4,1,0,0,40,0,39
32,3,11,4,3,1,4,1,0,0,44,0,21
42,3,9,2,6,0,4,1,0,0,40,1,39
27,3,9,2,6,0,2,1,0,0,40,0,39
25,5,9,4,5,1,4,1,0,0,50,0,39
67,3,10,6,12,1,4,0,0,0,25,0,27
25,3,3,2,7,0,3,1,0,0,40,0,26
47,5,10,2,3,0,4,1,0,0,40,0,39
26,3,10,4,6,3,4,1,0,0,40,0,39
39,3,11,0,1,4,2,0,0,0,40,0,39
28,3,13,4,10,1,4,1,0,0,60,1,39
42,3,9,2,7,0,4,1,0,0,40,0,26
43,3,10,2,1,0,4,1,0,0,40,0,39
31,5,13,4,13,1,4,0,0,0,40,0,39
71,3,9,2,0,0,4,1,0,0,40,0,39
34,3,13,2,4,5,4,0,0,0,40,0,39
29,3,10,0,0,3,2,1,0,0,40,0,39
24,3,9,4,8,1,4,0,2174,0,40,0,39
43,3,9,2,3,0,4,1,0,0,70,0,39
20,3,10,4,14,3,4,1,0,0,40,0,39
38,1,10,2,3,0,4,1,0,0,45,0,39
44,5,9,2,3,0,4,1,0,0,30,0,39
25,3,13,4,13,1,4,0,0,0,50,0,39
56,3,9,0,14,1,4,1,0,0,30,0,39
61,5,15,2,10,0,4,1,0,0,50,1,39
39,3,9,4,8,1,4,1,0,0,18,0,39
18,3,10,4,8,3,4,0,0,0,24,0,39
41,3,9,2,7,0,4,1,0,0,40,0,39
33,3,9,2,3,0,4,1,0,0,40,0,39
36,3,9,2,10,0,4,1,0,2377,60,0,39
60,3,9,2,0,0,4,1,0,1485,70,1,39
33,3,10,4,7,1,2,1,0,0,40,0,39
65,3,10,2,4,5,4,0,0,0,40,0,39
53,3,2,2,8,0,2,1,0,0,35,0,33
36,3,9,2,3,0,1,1,0,0,40,0,19
59,3,10,0,8,4,4,0,0,0,32,0,39
34,3,9,2,7,0,4,1,0,0,40,0,39
40,3,4,2,3,0,4,1,0,0,40,0,8
66,3,13,2,10,0,4,1,20051,0,40,1,39
19,3,10,4,1,3,4,1,0,0,10,0,37
31,3,9,4,12,2,4,1,0,0,40,0,39
53,3,14,4,0,1,4,0,8614,0,35,1,39
37,3,7,5,8,4,2,0,0,0,40,0,39
41,3,10,4,3,1,4,1,0,1408,40,0,39
32,3,12,0,7,1,4,0,0,0,50,0,39
32,3,13,2,4,5,4,0,0,0,40,1,39
35,3,13,2,1,0,1,1,0,0,40,1,30
39,3,13,2,12,0,4,1,0,0,50,1,39
22,3,13,4,4,3,4,1,0,0,40,0,39
29,3,10,2,14,0,4,1,0,0,40,0,39
37,3,13,4,10,1,4,1,10520,0,40,1,39
49,3,9,2,7,0,4,1,7298,0,43,1,39
42,3,10,2,4,0,4,1,7298,0,52,1,39
58,5,9,3,8,4,4,0,0,0,45,0,39
23,3,9,4,7,3,4,1,0,0,40,0,39
19,3,10,4,12,3,1,1,0,0,35,0,25
78,3,9,6,12,4,4,0,2329,0,12,0,39
35,3,9,2,1,5,4,0,4386,0,35,1,39
42,5,7,5,8,4,4,0,0,0,30,0,39
32,3,3,4,0,4,4,0,0,0,45,0,26
23,3,9,4,12,1,4,1,0,0,40,0,39
20,3,10,4,14,3,4,1,0,0,40,0,39
28,3,6,4,8,3,2,0,0,0,30,0,39
43,3,10,2,7,0,4,1,0,0,40,0,39
56,3,10,0,0,1,4,0,0,0,20,0,39
30,3,9,0,7,4,4,1,0,0,40,0,39
20,3,10,4,8,3,4,1,0,0,40,0,39
58,4,9,2,4,5,4,0,0,0,20,1,39
40,3,13,2,4,0,4,1,0,0,50,1,39
35,3,9,2,14,0,4,1,0,0,40,0,39
49,3,9,6,13,4,4,1,0,0,40,0,39
56,3,13,2,10,0,4,1,0,0,50,1,39
68,5,9,2,5,0,4,1,0,0,45,0,39
34,1,14,2,4,0,4,1,0,0,40,1,39
19,3,9,4,0,3,2,1,0,0,10,0,39
24,3,9,4,12,3,4,1,0,0,45,0,39
36,3,12,4,13,4,4,0,0,0,45,0,39
35,3,10,2,3,0,4,1,0,0,45,0,39
53,1,13,0,1,4,4,0,0,0,38,0,6
60,3,13,2,0,0,4,1,0,0,40,0,39
32,3,10,4,3,4,4,1,0,0,40,0,39
43,3,13,2,4,0,4,1,0,0,50,1,39
41,0,10,3,1,1,2,1,4650,0,40,0,39
39,3,6,4,8,4,4,0,0,0,25,0,26
34,3,9,2,14,0,0,1,0,0,52,0,39
44,3,10,2,7,0,4,1,0,0,40,0,39
26,3,9,4,12,1,4,0,0,0,38,0,39
26,3,10,2,12,0,4,1,0,0,50,0,0
43,3,9,0,1,2,4,0,0,0,40,0,39
63,3,7,2,12,0,4,1,0,0,22,0,39
41,3,10,2,3,0,4,1,0,0,60,0,39
57,0,10,0,8,1,4,1,0,0,40,0,39
38,3,13,4,5,1,4,1,0,0,40,0,39
20,4,9,4,7,3,4,0,0,0,30,0,39
47,3,3,4,7,3,4,1,0,0,20,0,39
47,6,14,5,10,1,4,1,0,0,38,0,39
35,3,10,0,1,4,4,0,0,0,55,0,39
45,1,15,0,10,4,2,0,0,1726,40,0,39
49,6,10,2,7,0,4,1,0,0,40,1,39
56,1,10,2,1,5,4,0,0,0,15,0,39
44,3,12,4,3,1,4,1,0,0,25,0,39
62,3,10,6,4,1,4,0,0,0,16,0,39
47,3,3,4,9,3,4,0,0,0,40,0,8
48,3,10,2,12,0,2,1,0,0,8,0,39
57,0,11,4,13,1,4,1,0,0,40,0,39
28,3,5,0,10,1,2,0,0,0,40,0,39
54,3,6,0,10,4,4,1,14344,0,68,1,39
20,3,10,4,8,3,4,1,0,0,50,0,39
53,6,14,2,4,0,4,1,0,0,42,1,39
50,0,7,4,12,1,2,0,3674,0,40,0,39
43,3,9,2,1,5,4,0,0,0,40,1,39
27,3,13,4,12,3,4,0,0,0,40,0,39
24,3,10,4,8,1,4,0,0,0,40,0,39
18,3,8,4,6,3,4,1,0,0,20,0,39
31,3,14,0,8,1,3,0,0,0,30,0,39
29,6,13,2,4,0,4,1,7688,0,40,1,39
59,5,4,2,12,0,4,1,0,0,85,0,39
26,3,14,4,10,1,1,1,0,0,20,0,19
27,3,12,2,4,0,4,1,0,0,40,0,39
23,4,13,0,12,1,4,0,0,0,43,0,39
43,3,9,4,4,1,4,0,0,0,50,0,39
30,1,9,4,11,3,2,0,0,0,40,0,39
28,5,9,2,10,0,4,1,0,0,35,0,39
34,3,9,0,14,1,4,1,0,0,50,0,39
38,3,9,2,14,0,4,1,0,0,99,0,39
47,1,16,4,10,4,4,0,0,0,40,0,39
29,3,12,4,7,4,4,1,0,0,45,0,39
43,3,9,2,7,0,4,1,0,0,40,0,39
35,3,12,2,13,0,4,1,0,0,40,1,39
18,3,9,4,8,3,4,1,0,0,35,0,39
40,5,12,0,4,1,4,1,0,0,30,0,39
20,3,10,4,0,3,4,1,0,0,25,0,39
45,1,7,2,8,0,2,1,0,0,50,0,39
47,6,9,2,8,0,4,1,0,0,40,0,39
56,4,4,2,3,0,4,1,0,0,50,1,39
53,5,9,2,3,0,2,1,3103,0,72,0,39
37,3,10,0,1,4,4,0,0,0,45,0,39
46,3,11,2,10,0,4,1,0,0,60,0,39
28,5,9,2,4,0,4,1,0,0,40,0,31
51,3,4,0,7,1,4,0,0,0,48,0,39
51,3,5,2,3,0,4,1,0,0,50,1,39
19,3,10,4,12,3,4,0,0,0,9,0,39
26,3,10,4,12,1,4,0,0,0,37,0,39
52,3,11,2,8,5,4,0,0,0,20,1,39
46,3,13,4,12,1,4,1,0,1504,40,0,39
67,1,9,0,11,1,2,1,0,0,20,0,39
62,3,14,2,0,5,4,0,0,0,40,0,39
57,1,13,2,10,0,4,1,0,1902,40,1,39
46,1,13,0,10,1,4,0,4787,0,25,1,39
29,3,13,2,0,0,4,1,0,0,25,0,39
38,3,13,2,4,0,4,1,0,0,63,1,39
56,3,9,2,1,0,4,1,0,0,35,0,0
30,3,15,0,12,3,4,1,0,0,55,0,39
43,1,9,2,3,0,4,1,0,0,40,0,39
45,3,10,6,4,4,4,0,0,0,55,0,39
23,1,13,4,10,1,4,0,0,0,40,0,39
42,3,10,2,10,0,4,1,15024,0,32,1,39
19,3,9,4,12,3,4,0,0,0,8,0,39
58,3,9,6,1,1,4,0,0,0,40,1,39
38,3,9,2,1,0,4,1,0,0,60,1,39
51,3,10,2,4,0,4,1,0,0,40,0,39
55,3,16,2,10,0,4,1,15024,0,30,1,39
43,3,13,2,4,0,4,1,0,1977,50,1,39
60,5,3,2,5,0,4,1,0,0,40,0,39
34,3,10,2,3,0,1,1,0,0,40,0,30
29,3,15,4,10,2,4,1,0,0,50,0,39
69,6,10,6,1,1,4,0,0,810,38,0,39
28,3,2,2,7,0,4,1,0,0,43,0,26
43,3,10,2,11,0,3,1,0,0,32,0,39
31,3,5,4,3,1,3,1,0,0,45,0,39
40,3,10,2,1,5,4,0,7298,0,40,1,39
44,3,9,2,3,0,4,1,0,0,40,1,39
32,3,11,2,3,0,4,1,0,0,45,0,39
29,3,5,2,3,0,4,1,0,0,40,0,39
27,3,9,4,7,3,2,0,0,0,40,0,39
34,3,13,2,12,0,4,1,7298,0,60,1,39
39,3,4,4,8,3,4,1,0,0,40,0,26
25,5,13,2,4,5,4,0,0,0,40,0,39
29,3,9,2,5,0,4,1,0,0,60,0,39
38,3,13,2,4,0,4,1,0,0,40,1,39
40,3,10,2,3,0,4,1,0,0,44,0,39
34,3,10,2,4,0,4,1,0,0,50,1,39
35,3,9,5,1,1,4,0,0,0,40,0,39
33,3,7,0,4,4,4,0,0,0,40,1,39
39,5,13,4,12,3,1,1,0,0,60,0,20
41,3,9,4,1,2,4,0,0,0,40,0,39
40,3,9,2,8,0,4,1,0,0,45,0,39
29,3,10,2,1,5,4,0,0,0,40,1,39
44,3,10,2,12,0,4,1,0,0,60,1,39
45,3,10,0,3,1,4,1,0,0,40,0,39
31,3,9,2,1,5,4,0,0,0,27,0,39
24,3,7,2,12,0,4,1,0,0,40,0,39
49,3,14,2,10,5,4,0,0,0,50,1,39
51,3,9,5,7,1,4,1,0,1876,40,0,39
55,4,13,2,12,0,4,1,0,0,60,1,39
58,3,9,6,1,1,4,0,0,0,27,0,39
52,5,9,0,5,1,4,1,0,0,25,0,39
43,3,13,2,4,0,4,1,0,1977,50,1,39
52,3,9,5,1,2,4,0,0,0,40,0,39
29,3,13,2,10,0,4,1,0,0,40,1,39
32,3,13,2,7,0,4,1,0,0,50,0,39
74,3,5,2,0,0,4,1,3471,0,40,0,39
19,3,10,4,6,3,4,1,0,0,20,0,39
42,5,15,2,10,0,4,1,0,0,38,1,39
48,3,14,2,10,0,4,1,0,0,40,1,5
38,3,13,2,12,0,4,1,7298,0,40,1,39
46,3,10,2,1,0,4,1,0,0,40,0,39
49,4,14,5,4,1,4,1,0,0,70,1,39
69,3,9,2,0,0,4,1,0,0,45,1,39
42,3,10,4,0,1,4,1,0,0,45,0,39
30,3,13,4,4,1,4,1,0,0,55,1,39
61,3,10,2,0,0,4,1,99999,0,30,1,39
33,3,13,2,10,0,4,1,0,0,25,1,39
33,3,10,4,3,1,2,1,8614,0,40,1,39
29,3,10,2,3,0,4,1,5013,0,40,0,39
19,3,10,4,1,2,2,0,0,0,38,0,39
31,3,9,2,3,0,4,1,0,0,40,0,39
30,3,9,2,3,0,4,1,0,0,70,0,39
21,3,10,4,1,1,4,0,0,0,40,0,39
36,5,9,0,14,1,4,1,0,0,60,0,39
18,3,9,4,12,3,4,0,0,0,24,0,39
26,3,10,4,0,3,1,1,0,0,40,0,30
41,3,9,4,12,1,4,0,0,0,50,0,39
28,5,13,2,12,5,4,0,0,0,5,0,39
40,3,13,2,1,0,4,1,0,0,40,1,39
